날짜,디스럽터2,에어맥스97
2018-04-23,8.57142,76.45962
2018-04-24,6.95652,74.84472
2018-04-25,6.77018,77.14285
2018-04-26,5.65217,70.0
2018-04-27,5.46583,65.59006
2018-04-28,5.90062,80.559
2018-04-29,7.51552,88.75776
2018-04-30,6.39751,77.32919
2018-05-01,6.02484,84.28571
2018-05-02,5.59006,78.32298
2018-05-03,6.45962,75.40372
2018-05-04,6.3354,67.08074
2018-05-05,7.32919,73.60248
2018-05-06,6.95652,93.41614
2018-05-07,7.01863,87.14285
2018-05-08,6.14906,72.60869
2018-05-09,6.45962,71.0559
2018-05-10,6.83229,75.90062
2018-05-11,4.28571,74.2236
2018-05-12,5.2795,84.96894
2018-05-13,7.32919,100.0
2018-05-14,7.01863,79.37888
2018-05-15,5.52795,76.52173
2018-05-16,5.71428,68.07453
2018-05-17,4.53416,63.97515
2018-05-18,3.7267,71.18012
2018-05-19,6.21118,67.14285
2018-05-20,6.83229,82.04968
2018-05-21,5.15527,65.59006
2018-05-22,5.71428,71.92546
2018-05-23,4.96894,69.19254
